Prsnlty_type,HrsSmrtPhnUse_Wkday,CallFamMem,CallFrnds,Txtng,Entertainment,NgtvePhysHlthEffcts_SmrtPhnUse,DcreasdSlpTimeQulty_SmrtPhnUse,TiredDaytime_latenightSmrtPhnUse,Compulsive_Behavior,Functional_Impairment,TotAddiction_Score,Depression_score,Anxiety_score
0,1,1,1,1,1,3,3,3,18,20,54,0,0
0,1,1,1,1,1,3,3,3,15,17,53,2,3
1,0,1,0,0,0,1,1,1,9,8,26,0,0
1,1,1,1,1,1,2,3,3,29,22,79,3,2
1,1,0,0,0,0,3,2,2,21,17,63,3,4
1,1,1,0,0,0,3,4,4,30,28,90,4,4
1,1,0,0,1,0,3,3,3,23,21,67,3,0
0,1,1,1,1,1,2,3,3,19,19,62,2,1
1,1,0,0,0,1,1,1,2,12,16,46,2,1
0,1,0,0,0,0,2,4,3,20,23,63,3,1
0,1,1,0,1,1,1,1,1,20,12,56,1,0
0,0,1,1,1,1,4,3,2,25,16,65,2,2
1,1,1,1,0,0,2,2,3,16,17,53,2,2
0,0,1,1,0,1,2,1,2,14,11,43,2,2
0,0,1,1,1,0,3,3,3,19,23,62,3,1
0,1,1,1,1,1,3,3,3,23,23,74,1,1
1,1,1,1,1,1,3,3,3,22,25,74,2,4
1,1,1,1,1,1,2,3,3,21,22,64,1,1
0,1,1,1,1,0,3,3,3,25,21,64,1,1
0,1,0,0,1,0,3,3,3,26,23,77,2,1
0,1,1,0,0,0,2,2,2,17,17,52,1,1
1,0,1,1,1,1,3,3,1,13,20,48,5,4
1,1,1,1,1,1,3,3,4,23,23,69,2,2
0,1,1,1,1,1,4,2,2,26,24,77,2,3
0,0,0,0,0,0,2,2,2,18,16,51,0,0
0,1,1,1,1,0,1,2,2,14,16,46,2,0
0,1,1,1,1,1,1,2,1,13,12,38,1,0
1,1,1,1,1,1,3,3,3,24,22,69,2,0
1,1,1,1,1,1,2,2,2,18,16,52,1,5
1,1,1,1,1,1,2,3,2,23,21,71,2,3
0,1,1,1,1,1,2,2,2,18,16,57,2,2
1,1,1,1,1,1,2,2,1,24,19,74,4,3
0,0,1,1,1,1,3,2,3,24,19,65,2,1
0,1,1,1,1,1,3,3,3,27,24,79,2,3
1,1,0,0,1,0,3,3,3,27,24,78,0,3
0,1,0,0,0,1,2,2,2,16,15,49,2,1
1,1,1,0,1,0,1,2,2,14,15,44,2,3
